import time: self [us] | cumulative | imported package
import time:       225 |        225 |                           unittest.util
import time:       246 |        471 |                         unittest.result
import time:       413 |        413 |                         unittest.case
import time:       277 |        277 |                         unittest.suite
import time:       278 |        278 |                         unittest.loader
import time:       759 |        759 |                             gettext
import time:       525 |       1284 |                           argparse
import time:       122 |        122 |                             unittest.signals
import time:       255 |        376 |                           unittest.runner
import time:       156 |       1815 |                         unittest.main
import time:       211 |       3463 |                       unittest
import time:       276 |       3738 |                     pyparsing.testing
import time:      2041 |       2041 |                     pyparsing.common
import time:       346 |      14803 |                   pyparsing
import time:       278 |      15081 |                 matplotlib._fontconfig_pattern
import time:       300 |        300 |                 matplotlib._enums
import time:       265 |        265 |                 cycler
import time:      3570 |       3570 |                   numpy.ma.core
import time:       566 |        566 |                   numpy.ma.extras
import time:       225 |       4360 |                 numpy.ma
import time:      1145 |      42911 |               matplotlib.rcsetup
import time:      2720 |       2720 |               matplotlib.ft2font
import time:       176 |        176 |               dateutil._version
import time:       205 |        205 |                 kiwisolver.exceptions
import time:      1755 |       1959 |               kiwisolver._cext
import time:      1146 |       1146 |                   matplotlib.artist
import time:       694 |       1839 |                 matplotlib.colorizer
import time:       601 |        601 |                 matplotlib._cm_listed
import time:       388 |        388 |                 matplotlib._cm_multivar
import time:       561 |        561 |                 matplotlib._cm_bivar
import time:      1464 |       4849 |               matplotlib.cm
import time:      3881 |      63068 |             matplotlib
import time:      2131 |       2131 |               matplotlib._image
import time:      1966 |       1966 |                   _socket
import time:       999 |       2964 |                 socket
import time:      1862 |       1862 |                     _uuid
import time:       306 |       2168 |                   uuid
import time:       163 |        163 |                   matplotlib._pylab_helpers
import time:      4835 |       7166 |                 matplotlib.backend_tools
import time:      2053 |       2053 |                           _json
import time:       715 |       2767 |                         json.scanner
import time:       334 |       3100 |                       json.decoder
import time:       293 |        293 |                       json.encoder
import time:       241 |       3632 |                     json
import time:       161 |        161 |                           xml
import time:       170 |        330 |                         xml.parsers
import time:      1978 |       1978 |                         pyexpat
import time:       175 |       2482 |                       xml.parsers.expat
import time:       588 |       3069 |                     plistlib
import time:       766 |        766 |                       matplotlib._mathtext_data
import time:       465 |       1231 |                     matplotlib._afm
import time:      4615 |      12546 |                   matplotlib.font_manager
import time:       261 |        261 |                     matplotlib.hatch
import time:       372 |        372 |                       matplotlib.markers
import time:      2394 |       2766 |                     matplotlib.lines
import time:      9401 |      12427 |                   matplotlib.patches
import time:       165 |        165 |                     matplotlib._text_helpers
import time:       183 |        183 |                             fontTools.misc
import time:        20 |         20 |                               gc
import time:       221 |        240 |                             timeit
import time:       393 |        815 |                           fontTools.misc.loggingTools
import time:       205 |       1020 |                         fontTools
import time:       189 |        189 |                         fontTools.misc.textTools
import time:      2835 |       4043 |                       fontTools.agl
import time:      1259 |       5301 |                     matplotlib.dviread
import time:      1975 |       1975 |                         unicodedata
import time:       283 |        283 |                           numpy._typing._add_docstring
import time:       161 |        444 |                         numpy.typing
import time:      1268 |       3685 |                       matplotlib._mathtext
import time:       198 |       3883 |                     matplotlib.mathtext
import time:      3248 |       3248 |                         _hashlib
import time:      1826 |       1826 |                         _blake2
import time:       249 |       5321 |                       hashlib
import time:       265 |       5586 |                     matplotlib.texmanager
import time:       282 |      15216 |                   matplotlib.textpath
import time:      2642 |      42829 |                 matplotlib.text
import time:       134 |        134 |                 matplotlib._tight_bbox
import time:      8104 |       8104 |                   matplotlib.collections
import time:      1027 |       9131 |                 matplotlib.widgets
import time:       201 |        201 |                 matplotlib.backend_managers
import time:       191 |        191 |                     matplotlib._layoutgrid
import time:       229 |        420 |                   matplotlib._constrained_layout
import time:       161 |        161 |                   matplotlib._tight_layout
import time:       201 |        781 |                 matplotlib.layout_engine
import time:      1054 |      64256 |               matplotlib.backend_bases
import time:      2374 |      68760 |             matplotlib.image
import time:      4415 |       4415 |             matplotlib.style
import time:        81 |         81 |               matplotlib._blocking_input
import time:      3169 |       3169 |                     matplotlib.offsetbox
import time:       204 |        204 |                       matplotlib.units
import time:      3176 |       3380 |                     matplotlib.axis
import time:       324 |        324 |                     matplotlib.gridspec
import time:       799 |        799 |                     matplotlib.spines
import time:      1271 |       1271 |                     matplotlib.table
import time:      2254 |      11194 |                   matplotlib.axes._base
